Peakid	Start	EDM_start	EDM_final	EDM_rate	EDM_halftime	ResStError
peak_2	3289987	0.390237648862467	0	74081.4437416863	13.2363313121277	0.189794603595667
peak_18	5435461	0.426746640391263	0.160041756288254	3.82136336304118	6.15092147706046	0.104535712714148
peak_19	5467922	0.439568545439101	0	38436.8286182133	13.5951184408434	0.132022148943005
peak_23	6047740	0.393020898437085	0.000127568739815836	19.0903686782862	13.23863469346	0.16423955093141
peak_24	6082883	0.497497469410892	0.0433631318397188	5.90025036190126	4.68187137886676	0.215358253340279
peak_25	6091813	0.518081856894932	0	13.975577217015	8.30678413352661	0.0840083708160659
peak_26	6172007	0.53192916766784	0	25154.1041874636	12.964596934712	0.273079154563678
peak_27	6173362	0.695846284012987	0	46685.5253047278	10.6823463177095	0.196957932407109
peak_31	6399393	0.532558487514962	0	60325.2241253739	11.2339864675675	0.228493178368446
peak_37	6778336	0.494089589229868	0.0494744868636975	3.76532114620736	3.0541064274117	0.103991733652772
peak_40	7188289	0.492005537765155	0.0325059240837859	2.82242508866192	2.16343412179889	0.0554951077324972
peak_42	7249327	0.727995783760346	0.261746608848339	3.2408652606498	4.91732227014649	0.218683314523293
peak_43	7306902	0.271315180985094	0.0454332483924869	2.48995224560193	2.28506199802396	0.0460598405020029
peak_44	7318428	0.458113007408289	0.0225976888909254	8.68694790223336	6.48419002439811	0.072261477993961
peak_46	7375331	0.563932318678271	0.226640571366258	0.787411823539705	1.42341440186122	0.238877871591371
peak_48	7420978	0.552071996797952	0.111910126598187	2.91791066078176	2.87854484110255	0.156677567781735
peak_50	7428725	0.494189919639257	0.0797079476606558	4.23725842334108	3.84201081705987	0.0568953125515207
peak_53	7563117	0.503152985936573	0.092353584865625	1.18345479072021	1.12167828723315	0.126893104254522
peak_54	7573104	0.542745753710707	0.0156642295362451	5.29307988074251	3.82857218007536	0.0816465723227716
peak_57	7610130	0.558592731811718	0.151849381398592	2.8139431198083	3.2655301356408	0.195737971230915
peak_58	7638206	0.552414236436807	0	8.2363706608669	5.29233973774927	0.0786469049881763
peak_61	7648431	0.510863915919392	0	11.6551764905029	7.07542822984186	0.0636583003098824
peak_64	7658408	0.385839504675865	0.0928581934045861	3.31699882566173	3.56352891551523	0.0756065460064041
peak_66	7670015	0.580589258474329	0.103870363423887	6.26163537516189	5.87906149761348	0.0490023411308581
peak_67	7673556	0.503783427103843	0	8.35680432226388	5.68957240091845	0.111763298005374
peak_68	7679181	0.504929488088076	0.154244907182825	4.48146365266224	5.70346463474153	0.0718922009497002
peak_70	7696693	0.439807998892445	0	23.410503308552	11.3699449443088	0.0676208731197551
peak_71	7713910	0.570113035463787	0.197200136919078	5.98590485591281	8.65347206394927	0.0776837183691965
peak_72	7721699	0.485772599823863	0.107430562545727	9.6056095371136	9.86643758384109	0.085195433855974
peak_73	7722753	0.711394899349	0.109885867280622	6.11728050852033	5.47420894363877	0.0834681637222328
peak_74	7724241	0.427695094945297	0.12995884598329	3.24148579557111	4.10604544125435	0.088896428414191
peak_76	7727862	0.503440098155867	0.118890856582318	4.64314486280476	4.93569925845199	0.047819383099391
peak_77	7733088	0.50736085174306	0.0921387379485034	21.9947379177196	NA	0.122475441877471
peak_80	7740079	0.342607342599867	0.00527679457082717	7.77037980352254	5.50852808350166	0.0938075827090847
peak_82	7750333	0.448870040535667	0.153167920007402	6.4096490279223	9.12040371947843	0.137084100931131
peak_83	7752087	0.611984176526437	0.211735998861281	5.78592702478619	8.36685182211038	0.146515670561651
peak_84	7753773	0.509182162712239	0	30.4687697395121	13.3547208342453	0.128570938556457
peak_86	7763586	0.572217982014106	0.348510123523368	2.32313829139811	NA	0.220801215654165
peak_87	7764701	0.516242574985503	0.0547800246106116	11.1371488363932	9.12706317388204	0.0521363898939583
peak_90	7775370	0.54596410409703	0	22.4120887831626	10.4350856262172	0.0945986054078415
peak_91	7776403	0.583976502828697	0.289162963195795	1.36607974391787	6.34917350180293	0.115202147616677
peak_96	7811231	0.383787639424567	0.149467054287917	5.42702035907903	9.27429357645575	0.0955943926609701
peak_98	7821837	0.5479294762563	0.0570298430259447	2.70863724627544	2.21198804312194	0.110082988333731
peak_100	7840911	0.462583612209932	0	44.4379666499056	14.3015459720242	0.12056030535204
peak_105	7877609	0.499384845530358	0	49657.021403293	10.5538921788273	0.139153508024228
peak_107	7883645	0.486061346547708	0.121370055460083	5.81781964797481	6.38689474293574	0.0765302023522682
peak_108	7898849	0.466959225810797	0	66306.3429983579	13.4517643674395	0.0350332320880855
peak_109	7915813	0.633211704914739	0.236146447949587	1.01377260083775	1.61833373911654	0.140357192272123
peak_111	7922043	0.475182512142539	0	21.5861798989246	11.8543983529577	0.078076055627327
peak_112	7926230	0.495331079909163	0.155600471735366	6.81470404058773	8.89766865270251	0.0775390956005856
peak_113	7936981	0.496261733842744	0	49706.795766916	NA	0.123304719236873
peak_114	7947338	0.473016345300948	0	136164.126368182	13.868450250202	0.0800215603110913
peak_118	7992687	0.398613962904935	0.174912369899505	2.16073262594567	4.78807701759085	0.108567044252853
peak_119	8001816	0.459126386551876	0.135668566835673	3.07261187211827	3.8004999822119	0.0357714162306358
peak_120	8007675	0.55294760989278	0.234186951512333	1.3165342846277	2.65935224117306	0.0960382667757147
peak_123	8015630	0.472142642960463	0.216389790000207	2.15988845875137	5.53910059007244	0.12608353968433
peak_124	8020076	0.486821054732964	0.180938160555576	5.15486082245394	8.18838301978663	0.106341302634041
peak_125	8033156	0.629714137548087	0.283118191074889	10.2698016053076	NA	0.132772897311225
